bit_length, total_bits, random_multiplier, rhs_projection_ell
19,231,353776,109982433371548348876762789034997604594802795752428657123324532434647885142350
19,231,514705,82123715081201181926631054435924672555178793837331264126057968169930256598922
19,231,412839,54504699828884360388041253696256679022999197247500938327420275969262693179274
19,231,321894,102078875776510983401592187563628461883199564199781735489426909829412170567729
19,231,318239,110606101173956949600597827022461582705804927531405545660400308509778569614395
19,231,267801,71469096478617546814219678043247357127128477982959087822612452127954336760814
19,231,440582,50722177849307026038951711305575707685492423057602721994518984866331626281735
19,231,383852,102985629387625027064886094727580749470773431064690603697145285987215492933687
19,231,282257,34815164600183982624228345685016907398394249580498152814081076434282398483645
19,231,282552,21922140289100440500339608725503084513831150520039065617317532604513475504331
19,231,385641,42331223645363380161358408788652020863944291606117756599616623291763218417842
19,231,513061,59645836075555087902282061012777034410745182999365159104988193130437362472994
19,231,366309,32540414340630333338552687941850687299766878758264005755947209698916421972040
19,231,464131,76974255569733398358891804963814614201032963083092579205070628472122577725134
19,231,507469,65646537158469526544366255504408733134731804121976509396535899514453776869526
19,231,405523,103210109957473737232614873661777680731841102464014386343782987396760639304761
19,231,365920,60594253681875373966798184862321912313663496338818885570631414553531865777830
19,231,368347,55125896649130524251724993673968676212839748146158989449366706285045367205925
19,231,390119,31214522546091904849155444728678129534855664817045937337807339523154359932538
19,231,345573,18956883988702470552684588915962235239160134105725358483153330669626331342737
19,231,397821,64855510267346339135668985529328347049022219088444920455524444067936867345648
19,231,351314,50295290086544341651295737675479038512621590029596204373919752673152838533513
19,231,399581,43018964130187735556913257261912604096323625941795196228240565518968077266405
19,231,499062,27262415545885992962969443650269450485911616223073033146773233837200170696862
19,231,402134,25386355065271814945372267575570613109486946713528149043838366648292056666819
19,231,283167,109490581640752787007905334985144179015018558623533086184797776324371952978321
19,231,501638,49528922500141425509890619327562275405151892035479967607617014978504487400667
19,231,274329,113977836045933748852923119147964556530770500408775897005828134987017006739806
19,231,506801,45223701921662035355532175071556516103026566895019678742785308504055894007517
19,231,337034,108804132343366616246133110902340097323233124299348343872460432242161002094174
19,231,333674,107072310373012823583797728667573634134976569997729879826387544943319001281614
19,231,482313,10786304442242005679954597133464874091966678119523001150918371747690019766280
19,231,353662,68857201189379886382946581503561328907734784802487079344555819493292148857162
19,231,371271,40592788432993602492862157771885217398914175109941735710024334177510956134597
19,231,435244,105971806331646860196777083722096038488259638143707999681040425841157600773054
19,231,408872,106744537955983103717921799644414293701210616313695478752333197163505722334690
19,231,429982,1446412893485024324625398368187812813991639301873977514373262096326502529472
19,231,402083,12494538645946764201577105333622310586111621050069460151189816773495225639515
19,231,265672,28411600782294754793310365399574465697540318504957581756929784239984799487535
19,231,269813,105626649373091601329849327396134260850317165110475966146572082194400731080663
19,231,304999,64229163342382809684015724893896210005462165282612024634233656263899579113240
19,231,315039,13798741206699493440941761263628140052778995085990607743066726676747445356617
19,231,390603,95657151401561694895577465191848086294648838882352126444003531095283986512001
19,231,504982,71868802145753617069471997377807741131055305723531610385616144329741432203422
19,231,318113,17561676854252325259280973751909921240592407345317707033464852435903380372278
19,231,439479,20458412085507041536194636632343614118476742810988210425254525797316963637363
19,231,439474,18304570792849045223242159754350275710503012313330868828098355249705023427810
19,231,477858,38219955179697081951796100274297237264540767050664720173880075742121840789703
19,231,482142,12584597231881167414185201343665620527682028836370141611966267317072958736479
19,231,415977,35850675197757470641530890750154450691825211055596313285652958475628911670336
19,231,462362,62841759867035729534940577390790557495281797223841896370343800153876410427132
19,231,459870,61284184966755668242166164497247736956013509715420840403651214329510575462310
19,231,519837,41544756744365207363877748229976215111419980741799938971094277611028057847930
19,231,276234,24251381770008613195246975604519608235626666636776862735452237851647710943806
19,231,522366,22059705165553384846437449578360391729813333876814371606138828282031012845303
19,231,517036,85047189642587559891858569105164160774012853734540449672007820417157690137981
19,231,401272,15146507117758116786804494772136587501304064036826076630373579125675421250050
19,231,312741,6489111436431360814578881871016074069877689548459328578104427873302949441162
19,231,381345,48642771870173745792444021384909382504815521899508473617076286685580391803356
19,231,380505,65447459439464154809928494697728587859425208965146951045453033490058394946829
19,231,448612,36499262434659819805679658685069922072247942603857309446716475449354928200099
19,231,289830,84794170819156321886501969540020165521449097446074273062037103023255230094951
19,231,325704,105155186389964939615826295631277494973463583377656979782029715497183324748370
19,231,472012,57200359504510572835712092945838483533534826248710133056603438742801065735967
19,231,436490,13085107122640544119421085938990183585217423098739390021603324235492721241338
19,231,377857,71845424071263775791893020865214137640626054633748286126136276991596662444146
19,231,514679,78983676130886178876723264773136781693981306095329108819643184231752756636829
19,231,290727,35053949297928353385653692504267151941783405089119060809484217926782026179567
19,231,454471,46378336756172084955803359891852201810376384219101966905844225674566781965494
19,231,479897,85427749381915073497465731003387429923712997151181684094514410897739292430755
19,231,265043,67965223426556923130843476728265979414908407250872136237578299865955889604338
