bit_length,total_bits,random_multiplier,rhs_projection_ell
94,229,16456999202173657872747057891,31370383565795535080415438585602807420664721954112380194246589974142490636350
95,230,20391393104930781729567378080,64056277009625511773193187896711974613151981449306954998331457726871124015902
96,231,75825604142315688554414390945,78737294258537733267718168822814489541218104035651441109272318277922236611721
97,232,95692615067348802083858738402,13998102329599412518161209678911209955987553901656847435424769372032989032817
93,228,7041621951769524055720907479,44724776871080844448649018861418873029825570852343347596185268791864920151406
94,229,14455935965949591788363423971,81459855061708839304201607849472079777321282094954066770708968283697365772460
95,230,24661592997859974194274910156,75226861452554313479648947786437642497349744529128198221853652059570117268568
96,231,74421205592375605088362329578,86063226911364660762249330030780163152857670084511373399474849940075564648491
97,232,142837469367122016948785523293,91172318224823869554930393126144587544544507882012447176932928436432705014457
93,228,7780677751207613496532650358,37930723732572632793210253973906427234385317470819233863020695260340157329595
94,229,19226234715266259599639648098,95641713885698685793963684485228950075422399076435906365930169600677744949360
95,230,26869642301510439465165055472,79437209057834560549699181175336483698859812753760035742850703357410383176423
96,231,47123487661370437644298566232,85992763987522430043056050430490955131864081302016721543451397897189474637413
97,232,140407667931191129298124580887,103931562605039477289593369087482975344455970164026451822567288492793906281537
93,228,8994917193579788777713500975,81400706400332997085358479100616843077391486354464591522563584882295670319646
94,229,10724450455724078615318473887,45038654318783703022851016253268561106183798022355029677508917639458586999092
95,230,31188433151797311484947458913,27870623930927787976140588787175317970797240003294146818010287287989110771404
96,231,54910336559543805388773776666,43415145299513460874696733087665053217562475172231661167556359269984967944998
97,232,151972942249803465713928446631,21345414369319150376941928575683871717427504365347892098422184165021644552629
93,228,8286732878726510901348864631,57690331672703866623676062992213831334170185857857971449074947277047501035079
94,229,19599382103730174356334835171,27779347192158318653557153750104365265554390246453347471425988369605027078837
95,230,20686145067785280482029689958,15194775468862493001152077871045381995849447379670770809593324923880154964634
96,231,56389384059651253680562208333,60454719829979498079695408559182811165656278589426572235874663877645445529260
97,232,157555487952832688542361454079,76538714651816710510464431702221314448689712960205562963669375727102419721941
93,228,5833107687656142478834604041,76554289661591902074585797176383794827144552632049968268629163861129013543475
94,229,17666533860361096847904678180,14038571882611565914958791272883683578857516787184972301823757169131839208693
95,230,25097972546564244222704790522,35276624400871505446393868054808027732737306442076169166679841734757932921891
96,231,67489291348416598245732703719,86757181794272235800261348210359275905225582163874209949756016552719397550985
97,232,90578232145054396876726306044,53449021816666692830865594292067596511716217598366949460549780810682938452389
93,228,8034793520700263645779920284,6000090729977729862071595648269116902573018774086187063119812700754468728043
94,229,13831428753856340519648585376,88802922210792231305989803708439101379687922018929310367969701185286956203003
95,230,35526173350657306791134196789,104216005491163983019886380202483438814666313199738692925906525712809462610083
96,231,70849214252359875150212042617,84293942955076644530679661777840412628340518852539571470231271585895156874660
97,232,106291495100706795361978109595,72972606553308780415979775171210509515908461555463001481884246401446686762830
93,228,9355985465942913982104187954,103739297278488820504249852876370457126160921294186806281879406899009453203551
94,229,19369747141097088801324370498,26882523009555093461097160557800030215010643365039087196658395511951278345591
95,230,34371300191195828572267175544,58934890740363740164900848636037826630177120519973540146422599536823479350103
96,231,54935182031954908595325033269,16147025342355452634524272803488229499247139169242378810962750865034204860605
97,232,84613965761304181824109426630,41851646056682439551402288491785062371570140206495554228640592614106950395865
93,228,9819074786297817467103780062,61994495051216336544900319058665797637131661683573720544708427690489265445040
94,229,18878609098718656143543267368,84669392548276881347894200928789383156130772222533121494219074914435779991576
95,230,31104164428163011217277851305,72869898018176740565979840106075193485395437200475339486948662952612468503273
96,231,52449211848845219032573908514,46040915716010790099639989830218282589668178572452149950499593351597019382817
97,232,93194592460787717891265798913,17432896755621198408068624204560736649552815508392505909992265627595649406372
93,228,9089161369604565712135294859,66995058340288181899695862961709947193531808242745779984719931681809313180029
94,229,16845940335276310610484584512,54059723910761360782604075541507361814109228706393334625084956001388482973381
95,230,24209239150656371726618062324,35532442809672734609664701834075706484948268789408642407381086527891736084304
96,231,49970724573682384271351113420,10933555674143697567796756969307337474174573943358625203487103877463011604552
97,232,145506440745055323248439945208,45254175031918540321287703560465869951866084823121740891190506182082591481964
93,228,9850429741015380785406435856,57488518163788273234706254904070499865618208665759814274481978487647264405374
94,229,10094298676670345072816665131,113193462866683922491025785347367250863054676932521597905122181538527450042125
95,230,32206582195957119250585335934,32983918122946951245543907446666884653575543748429013901487587878977882787906
96,231,68876635740955999404504342777,73458588331242785939302444816232173866423246070399426707791311845146985636124
97,232,86119197579699863052517200277,49291920447438114476002462178558152647654354273543643489326420907834120502821
93,228,7083486412530951143472214504,10058505648998216287309889517172236706101338508294379982207557222170770592661
94,229,15097325159864488349601345407,57406809116865188472284347113025119540349139101787621223863630339666239415905
95,230,33651938049854079086448359314,62442303379224500730497435638524102716805768545205726320141935888549232792257
96,231,75378665080332763605068107125,109217208907962528897666589869109385021202403167584700769473203430346959948837
97,232,153941577354016103001213726842,25119416179103663784346994424204922276317637900988397874856239216418854685799
93,228,5622564904077423283798447907,66009537023751189227003560296697571662362763028601488636053278150110688538173
94,229,17715462195577382179027935930,29675488291238129885014950938175601687526693277753757579420991276175400796268
95,230,23259889174138702552366487182,44843911338023316716671991268636599665288568328995594271344228982271530036827
96,231,41973197397821854761493035121,41910515652534163034355923597149892187591045708211836373727544460461552565460
97,232,154971921293522527721157447136,82973309798322564925329990855198548718841562429029702282663105870007950339193
93,228,8688699165549999660839442737,73427102795563672017378414080238122895286156616632257124112956667879239807840
94,229,10015023460862792638599142568,48830013793677546332221338838106188005801966966991553304049818979757504757517
95,230,24680248580451519204450139223,62817189837021784874717917583826216771392973816881818996434729436756298637735
96,231,50556900459447109537458198982,42684988321888888830265278745435878082603204780524007850881688984191162016202
97,232,90002750420410088198191002779,92499915409014098588487298612334704086573833649134696545324230634386255458945
93,228,9705196945245426703738708587,15282901685472705300282275421410095572339270130268595250259919768381584582395
94,229,13196892202413501736093037433,115003284783473481950853531013185982645006562087667777427094837363607629532954
95,230,28596454765356018118684532798,109483662489910907853564459666372941346866267494710077560058417226684819683547
